ID;Module;User Story;Type;Statut
A-01;Auth & Onboarding;En tant que nouveau visiteur je veux créer un compte avec mon email/mot de passe afin d'accéder aux outils.;Existant;Done
A-02;Auth & Onboarding;En tant que nouveau visiteur je veux me connecter via Google OAuth afin de m'inscrire sans mot de passe.;Existant;Done
A-03;Auth & Onboarding;En tant qu'utilisateur je veux recevoir un email de vérification après inscription afin de valider mon compte.;Existant;Done
A-04;Auth & Onboarding;En tant qu'utilisateur je veux réinitialiser mon mot de passe par email afin de ne pas être bloqué en cas d'oubli.;Existant;Done
A-05;Auth & Onboarding;En tant que nouvel utilisateur je veux renseigner mon prénom lors de l'onboarding afin que l'interface me reconnaisse.;Existant;Done
A-06;Auth & Onboarding;En tant qu'utilisateur je veux être redirigé vers /login si je tente d'accéder à une page protégée sans être connecté.;Existant;Done
D-01;Dashboard;En tant que manager connecté je veux voir un tableau de bord centralisé avec mes collaborateurs / mini-jeux / OKR et académie afin d'accéder rapidement à tout.;Existant;Done
D-02;Dashboard;En tant que manager je veux voir la progression globale de mon équipe sur les OKR (jauge circulaire) directement depuis le dashboard.;Existant;Done
D-03;Dashboard;En tant que manager je veux voir mon nombre de badges académie acquis vs total depuis le dashboard.;Existant;Done
D-04;Dashboard;En tant que manager je veux être invité à passer au plan premium depuis le dashboard si je suis en version gratuite.;Existant;Done
F-01;Feedback SBI;En tant que manager je veux décrire une situation en langage naturel et recevoir un feedback structuré au format SBI afin de communiquer clairement.;Existant;Done
F-02;Feedback SBI;En tant que manager je veux choisir le ton du feedback (bienveillant / direct / formel) afin de l'adapter à ma relation avec le collaborateur.;Existant;Done
F-03;Feedback SBI;En tant que manager je veux choisir le canal de communication (oral / écrit / asynchrone) afin que le feedback soit formulé de manière appropriée.;Existant;Done
F-04;Feedback SBI;En tant que manager je veux être alerté si mon input contient un jugement de personnalité afin d'éviter les biais dans mon feedback.;Existant;Done
F-05;Feedback SBI;En tant que manager je veux pouvoir déplier la structure SBI du feedback généré afin de comprendre la méthode et progresser.;Existant;Done
F-06;Feedback SBI;En tant que manager je veux voir le résultat en streaming (token par token) afin de ne pas attendre une réponse bloquée.;Existant;Done
F-07;Feedback SBI;En tant que manager je veux itérer sur un feedback généré (rends-le plus court / reformule le S) sans tout réécrire.;Évolution;To Do
F-08;Feedback SBI;En tant que manager je veux consulter l'historique de mes feedbacks générés afin de retrouver un feedback passé.;Évolution;To Do
R-01;Recrutement;En tant que recruteur je veux décrire un poste et recevoir un guide d'entretien complet (questions / relances / drapeaux) afin de structurer mes entretiens.;Existant;Done
R-02;Recrutement;En tant que candidat je veux simuler un entretien en mode côté candidat afin de me préparer à répondre.;Existant;Done
R-03;Recrutement;En tant que manager je veux choisir le type d'entretien (technique / comportemental / motivation) afin d'obtenir des questions adaptées.;Existant;Done
RM-01;Réunion Maker;En tant que manager je veux décrire mon contexte de réunion et recevoir une checklist et un découpage sur-mesure afin de la préparer efficacement.;Existant;Done
RM-02;Réunion Maker;En tant que manager je veux préciser la durée et le nombre de participants afin que le timing proposé soit réaliste.;Existant;Done
C-01;1:1 Coach;En tant que manager je veux ajouter un collaborateur (prénom / poste / niveau de séniorité) afin de démarrer son programme de coaching.;Existant;Done
C-02;1:1 Coach;En tant que manager je veux générer un plan managérial sur mesure pour chaque collaborateur (axes de développement / compétences / trajectoire) via l'IA.;Existant;Done
C-03;1:1 Coach;En tant que manager je veux préparer une session 1:1 hebdomadaire guidée pour un collaborateur afin de structurer notre échange.;Existant;In Progress
C-04;1:1 Coach;En tant que manager je veux visualiser les sessions complétées vs restantes pour un collaborateur afin de suivre la progression.;Existant;Done
C-05;1:1 Coach;En tant que manager je veux voir un résumé du plan (axes / compétences / trajectoire) dans un onglet dédié.;Existant;Done
C-06;1:1 Coach;En tant que manager je veux avoir accès à 4 semaines gratuites et 12 semaines premium afin de tester avant de payer.;Existant;Done
C-07;1:1 Coach;En tant que collaborateur je veux recevoir un lien externe (token) pour remplir un formulaire d'auto-évaluation sans me connecter afin que mon manager ait mes inputs.;Existant;Done
C-08;1:1 Coach;En tant que manager je veux recevoir une suggestion de contenu de session basée sur la session précédente afin de garder la continuité.;Évolution;To Do
O-01;OKR;En tant que manager je veux définir les OKR de l'entreprise (Objectif + Key Results) afin d'aligner toute l'équipe.;Existant;Done
O-02;OKR;En tant que manager je veux générer des OKR collaborateur à partir des OKR company via l'IA afin de cascader les objectifs.;Existant;Done
O-03;OKR;En tant que manager je veux mettre à jour la progression de chaque Key Result (valeur actuelle) afin de suivre l'avancement.;Existant;Done
O-04;OKR;En tant que manager je veux voir la progression moyenne de l'équipe (% moyen des KRs renseignés) dans une jauge visuelle.;Existant;Done
O-05;OKR;En tant que manager je veux demander une assistance IA pour reformuler ou améliorer un KR afin qu'il soit mesurable.;Existant;Done
AC-01;Académie;En tant que manager je veux suivre des parcours thématiques (CNV / leadership etc.) composés de quiz afin de monter en compétences.;Existant;Done
